Zeit	KanalA	KanalB
53.59999967	232.33740000	232.20010000
53.67999967	227.88170000	232.20010000
53.75999967	227.88170000	232.20010000
53.83999967	227.88170000	227.74440000
53.91999967	232.33740000	232.20010000
53.99999967	227.88170000	232.20010000
54.07999967	227.88170000	227.74440000
54.15999967	227.88170000	227.74440000
54.23999967	227.88170000	227.74440000
54.31999967	227.88170000	232.20010000
54.39999967	232.33740000	236.67100000
54.47999967	227.88170000	232.20010000
54.55999967	227.88170000	232.20010000
54.63999967	227.88170000	227.74440000
54.71999967	232.33740000	232.20010000
54.79999967	227.88170000	232.20010000
54.87999967	227.88170000	232.20010000
54.95999967	227.88170000	227.74440000
55.03999967	227.88170000	227.74440000
55.11999967	227.88170000	227.74440000
55.19999966	232.33740000	232.20010000
55.27999966	227.88170000	227.74440000
55.35999966	232.33740000	227.74440000
55.43999966	227.88170000	232.20010000
55.51999966	227.88170000	232.20010000
55.59999966	232.33740000	232.20010000
55.67999966	227.88170000	232.20010000
55.75999966	227.88170000	232.20010000
55.83999966	227.88170000	232.20010000
55.91999966	227.88170000	232.20010000
55.99999966	227.88170000	232.20010000
56.07999966	232.33740000	232.20010000
56.15999966	232.33740000	232.20010000
56.23999966	227.88170000	232.20010000
56.31999966	232.33740000	232.20010000
56.39999966	227.88170000	232.20010000
56.47999966	227.88170000	227.74440000
56.55999966	227.88170000	227.74440000
56.63999966	227.88170000	232.20010000
56.71999966	227.88170000	227.74440000
56.79999965	227.88170000	227.74440000
56.87999965	232.33740000	232.20010000
56.95999965	232.33740000	232.20010000
57.03999965	232.33740000	232.20010000
57.11999965	227.88170000	232.20010000
57.19999965	232.33740000	232.20010000
57.27999965	227.88170000	232.20010000
57.35999965	227.88170000	232.20010000
57.43999965	227.88170000	232.20010000
57.51999965	227.88170000	227.74440000
57.59999965	227.88170000	232.20010000
57.67999965	227.88170000	232.20010000
57.75999965	232.33740000	232.20010000
57.83999965	227.88170000	227.74440000
57.91999965	232.33740000	232.20010000
57.99999965	227.88170000	232.20010000
58.07999965	227.88170000	232.20010000
58.15999965	227.88170000	232.20010000
58.23999965	232.33740000	227.74440000
58.31999965	227.88170000	232.20010000
58.39999965	227.88170000	232.20010000
58.47999964	232.33740000	227.74440000
58.55999964	232.33740000	227.74440000
58.63999964	232.33740000	232.20010000
58.71999964	227.88170000	232.20010000
58.79999964	227.88170000	232.20010000
58.87999964	232.33740000	232.20010000
58.95999964	232.33740000	232.20010000
59.03999964	232.33740000	232.20010000
59.11999964	232.33740000	232.20010000
59.19999964	232.33740000	232.20010000
59.27999964	227.88170000	232.20010000
59.35999964	227.88170000	232.20010000
59.43999964	232.33740000	232.20010000
59.51999964	232.33740000	232.20010000
59.59999964	227.88170000	232.20010000
59.67999964	227.88170000	232.20010000
59.75999964	227.88170000	232.20010000
59.83999964	232.33740000	232.20010000
59.91999964	227.88170000	232.20010000
59.99999964	227.88170000	232.20010000
60.07999963	227.88170000	232.20010000
60.15999963	232.33740000	232.20010000
60.23999963	232.33740000	232.20010000
60.31999963	232.33740000	232.20010000
60.39999963	223.41070000	227.74440000
60.47999963	223.41070000	227.74440000
60.55999963	227.88170000	227.74440000
60.63999963	227.88170000	227.74440000
60.71999963	227.88170000	227.74440000
60.79999963	227.88170000	227.74440000
60.87999963	227.88170000	227.74440000
60.95999963	227.88170000	227.74440000
61.03999963	241.24880000	245.59770000
61.11999963	241.24880000	245.59770000
61.19999963	245.70450000	245.59770000
61.27999963	232.33740000	232.20010000
61.35999963	227.88170000	227.74440000
61.43999963	227.88170000	227.74440000
61.51999963	227.88170000	227.74440000
61.59999963	232.33740000	232.20010000
